wavelength flux
0.8083540201187134 1.3858441575299169e-13
0.8085564970970154 1.4282412058586047e-13
0.8087590336799622 1.461705648013456e-13
0.8089615702629089 1.4305703431756467e-13
0.8091639876365662 1.4677399107296957e-13
0.8093665242195129 1.416558114298444e-13
0.8095690011978149 1.470718349622785e-13
0.8097715377807617 1.4683978859231228e-13
0.8099740147590637 1.513270167811595e-13
0.810176432132721 1.4782954320304714e-13
0.810378909111023 1.472946249561971e-13
0.8105814456939697 1.4510820930263568e-13
0.8107839226722717 1.4661710701861091e-13
0.8109863996505737 1.597603885121479e-13
0.8111888766288757 1.5683594288724845e-13
0.8113735318183899 1.5776786886460836e-13
0.8116066455841064 1.582047752350657e-13
0.811839759349823 1.5888282172121099e-13
0.8120728135108948 1.60629634051411e-13
0.8123058080673218 1.7039492104624354e-13
0.8125389218330383 1.7276257464546307e-13
0.8127719759941101 1.7116276657732493e-13
0.8130050301551819 1.7602907250325456e-13
0.8132380843162537 1.7675397007577837e-13
0.8134710788726807 1.7169280591439878e-13
0.8137041330337524 1.7551125754567548e-13
0.8139371871948242 1.8076412220367766e-13
0.8141701817512512 1.840743134090203e-13
0.814403235912323 1.7908715959844002e-13
0.8146361708641052 1.7296727201562834e-13
0.8148691654205322 1.7814257556071633e-13
0.8151021599769592 1.7693110160570819e-13
0.8153351545333862 1.775587597958872e-13
0.8155680894851685 1.8329128904752412e-13
0.8158010840415955 1.8192584483149588e-13
0.8160340785980225 1.7868416165092715e-13
0.8162670731544495 1.7485805284180728e-13
0.8165000081062317 1.7710216160347209e-13
0.8167329430580139 1.9082854057789894e-13
0.8169658780097961 1.9250012282985562e-13
0.8171988129615784 1.9607368029542216e-13
0.8174317479133606 1.9524843981183482e-13
0.8176646828651428 1.8521473146414918e-13
0.8178975582122803 1.8717044244793285e-13
0.8181304931640625 1.689079919767883e-13
0.8183634281158447 1.3637856577548846e-13
0.8185963034629822 1.1119649987031618e-13
0.8188291788101196 1.3416167048835304e-13
0.8190620541572571 1.610100399361547e-13
0.8192949891090393 1.5543679353618306e-13
0.8195278644561768 1.2388291889715852e-13
0.8197607398033142 9.944418877770589e-14
0.8199935555458069 1.1403437872800626e-13
0.8202264308929443 1.3802564505834697e-13
0.8204593062400818 1.5589268699718606e-13
0.8206921219825745 1.5666607551187428e-13
0.8209249973297119 1.4453050572755394e-13
0.8211577534675598 1.5110386086900768e-13
0.8213906288146973 1.5646034814964516e-13
0.8216234445571899 1.5762003789838996e-13
0.8218562602996826 1.571964672146542e-13
0.8220890164375305 1.6380041040989918e-13
0.8223218321800232 1.637600509840284e-13
0.8225546479225159 1.7680770584595218e-13
0.8227874636650085 1.774085842424708e-13
0.8230202794075012 1.814426701333277e-13
0.8232529759407043 1.9064180030621547e-13
0.823485791683197 1.8356926493202225e-13
0.8237185478210449 1.7998940554132814e-13
0.8239513039588928 1.8930703901166857e-13
0.8241841197013855 1.897181549229479e-13
0.8244168162345886 1.8857692371618967e-13
0.8246495723724365 1.8667582941684496e-13
0.8248823285102844 1.8676736318525705e-13
0.8251150250434875 1.871372929665091e-13
0.8253477215766907 1.7667283109569498e-13
0.8255804777145386 1.6882518603586472e-13
0.8258131742477417 1.671638223893837e-13
0.8260459303855896 1.7366739556851085e-13
0.8262786269187927 1.8297823922274609e-13
0.8265112638473511 1.8995994555993934e-13
0.8267439603805542 1.854807404671685e-13
0.8269766569137573 1.8053416292289348e-13
0.8272093534469604 1.7487180865687069e-13
0.8274420499801636 1.6787702413097183e-13
0.8276746869087219 1.7051068673321068e-13
0.8279073238372803 1.7596725942689573e-13
0.8281400203704834 1.7473216341705455e-13
0.8283726572990417 1.692645454137373e-13
0.8286052346229553 1.6379997672903018e-13
0.8288379311561584 1.6118864869154453e-13
0.8290705680847168 1.5134126048720054e-13
0.8293032050132751 1.5077480550965833e-13
